window_size_1_RMSE,Plain_wAll,Exp_wAll
0.19035732108174763,0.3461422284047549,0.4152839038719479
0.1836228712660816,0.31021921010848946,0.3856657093273688
0.19665077612559523,0.3377740418003575,0.4653374640330538
0.18778043015430917,0.34431213390726434,0.3984895418432049
0.19259731820408935,0.3155811564790259,0.4102938629243724
0.19747375994148883,0.3528373964005638,0.4563978473190054
0.1932075296611931,0.3372943034590239,0.4443830882018467
0.1868052763050631,0.3488477892351965,0.3951062867288211
0.19153219633735197,0.32853580111575875,0.41621401110112827
0.1888096154007686,0.33130872092301866,0.4333489580220597
0.1960768430085602,0.3356038158698818,0.4603554679744616
0.19254410220031723,0.2903029046509938,0.4508570301747217
0.1917725618628666,0.3657292612192112,0.4562351488917952
0.1901895689701869,0.34322004263424616,0.4402281983556661
0.19066347409333745,0.3378632537313947,0.4308592648440723
0.18821997951261515,0.3683660129683048,0.4106243812248263
0.18997586214203352,0.3024605851379953,0.4451285500527492
0.1949579315851104,0.32561857756142226,0.4659711865039857
0.18840688780306153,0.3445156507798716,0.4175247737358937
0.18650954127649555,0.3288759149116144,0.4309232302955936
0.19322862752285658,0.3443082212477904,0.4450035740681265
0.19107536747027395,0.345789055201435,0.4390346206701883
0.1924116244283946,0.34451207179637,0.4736068403345062
0.18213741060155647,0.3646784227959806,0.3992460791575829
0.2025845675537209,0.3190188146370732,0.4941191202445603
0.19204015586212886,0.4018731888200622,0.4443301462188917
0.18708770759189278,0.3470110018626184,0.3818074197333942
0.19244516466646666,0.3341072965914523,0.4393746858020161
0.1938267560310758,0.3797111782115956,0.4377638186154904
0.18921206742137556,0.32163992128158697,0.4089541260826443
0.1923995109419574,0.3164939303278869,0.442964610895068
0.18868237711330227,0.3391287800064831,0.4320921355924388
0.18847705991505267,0.3341475767786313,0.3765444434211586
0.19372555485512513,0.35323045371492,0.4411514022827723
0.19263293793206665,0.4242067063323784,0.4228602265378779
0.19184006454429597,0.33573070975836444,0.4332580034374612
0.19228213440791073,0.3872835363276744,0.4372416395710916
0.1984103706621681,0.36825192356157305,0.4705738204065663
0.19161326114650556,0.3572841340566397,0.4473273319531139
0.1978264578459597,0.40531929364930586,0.4333927798742113
0.1913430280534754,0.3700993934946601,0.4222291070088121
0.18799247812999206,0.33456332351004364,0.4184442092386439
0.18897125976694246,0.3550503206886062,0.4194265932724848
0.18926273571101682,0.3599246996453945,0.4237608307196284
0.19883845070587636,0.3838014552228475,0.4473390170358264
0.19654742759431507,0.3763191056273735,0.4439996690393183
0.19161509718921146,0.3339603832262339,0.4500581301498633
0.19389276983013817,0.33499657574843344,0.415420087427154
0.19778018060834454,0.3865596964150621,0.4510079694617224
0.1912388460853831,0.3260846516205768,0.4128602989708546
0.19137977969215217,0.38589364510301416,0.4131556540737487
0.1965959527149742,0.3275753071904782,0.4529349503044578
0.19542663591913595,0.3771828051988518,0.4376882148553126
0.1916665357050069,0.3651787007002544,0.4293864729815257
0.1950925354742432,0.38187294211119577,0.4434015939876804
0.19304514927195374,0.33880579127927496,0.417099851318561
0.19652613435219435,0.3528052393625252,0.4362436157569842
0.19970872425193684,0.34260614994053834,0.4763559634634893
0.19145876900714448,0.3248116170301679,0.4103016370754408
0.1998766707639955,0.3671244147297708,0.447031271663886
0.19009549492783712,0.3837853939625667,0.4107969547038132
0.191656613119819,0.3742835189854745,0.42139166472822537
0.1923052973666824,0.3313458795974117,0.4135376343122079
0.19573538868990537,0.3371034581735598,0.43687132824653613
0.19529285906865987,0.3312389034342006,0.44426884325822624
0.20210793304862446,0.4143841089983553,0.4442877219946724
0.19339358950655877,0.3595713292805099,0.4343803248744332
0.19604202511151259,0.3646953223198505,0.4319807805753826
0.1967103653511781,0.38209542420954107,0.4588120871500505
0.19597075433739825,0.4573679329787234,0.4313694694880235
0.19357338038156655,0.3504184516012364,0.4147430603626847
0.196904828382377,0.360180220956325,0.4415194514054621
0.19740883026406028,0.3534925647965324,0.4509312533525667
0.20148260265077148,0.3659499310459931,0.4363005193848036
0.20013795778025872,0.3674047195135231,0.4509238743204815
0.20405497401401276,0.396632606422564,0.42051660268524826
0.19716997510896797,0.3557106008858129,0.4373050404497101
0.19590578320927732,0.36823823536772,0.4570222303683592
0.19905152150407407,0.3460755206511044,0.4507676732725651
0.20194844957629804,0.375722674783595,0.48247726134236296
0.19751379585218679,0.3306754329910116,0.4456952613912689
0.20309558364465402,0.4028778538100184,0.4547525220974016
0.19288686907276648,0.35286978242858064,0.4081347627447041
0.2016956097812734,0.3476500217231174,0.44157063610099256
0.19661882996308339,0.42364231236034205,0.4069943626062975
0.20026782363646636,0.3488414036268929,0.451795015209636
0.19819796880341933,0.3646354764701024,0.439882611101473
0.19566962520766065,0.3659124446269792,0.4296037916585563
0.19818442706545988,0.3772082460035831,0.4400255259164487
