window_size_1_RMSE,Plain_w200,Exp_wAll
0.21165847211068808,0.4970658651215825,0.4044897754005479
0.24657490275186084,0.506253552899068,0.4878060087524285
0.25183905638477244,0.4790795814445489,0.4145981482915323
0.22578074108679122,0.5143387474404499,0.4364273938668041
0.22252655630772644,0.5079804615106613,0.471004976151773
0.2135835653334726,0.5051710018919482,0.4326966197452575
0.21345115254262517,0.4764843623170723,0.4449979956083238
0.20983505069468095,0.5020498238111053,0.3995839430004756
0.21433362703184788,0.4794890416546752,0.4614357356360474
0.21910194300583555,0.5405277621488549,0.4450444658943615
0.21359240859864578,0.5118163741673619,0.4297794525498743
0.21842218194844945,0.4994677960613763,0.3916446807066984
0.21454346586916337,0.4994596968187108,0.4398537601149957
0.23193455261957807,0.500799443596175,0.4140049642022967
0.21790575165662396,0.533833613090782,0.4506469933018209
0.27251342705888004,0.5222473357357882,0.4555971465925097
0.40276624678674017,0.4982548517326699,0.4574399717789502
0.23243200868845545,0.5013005390224377,0.4245435377073887
0.22110016910633032,0.5202499952527359,0.47731133135858095
0.22635013942109444,0.5052091681670637,0.4543110890924333
0.22814883922705975,0.5361496096797908,0.42937764260037103
0.6627734373943671,0.5113761121771525,0.4396582628589861
0.21314096250179296,0.4876622762745672,0.4533266636739834
0.20602288180568892,0.4796370510935289,0.39737904750252817
0.29919161088758883,0.4908312670882613,0.4304868326600348
0.21430964241621978,0.5148360656194125,0.4300316962338646
0.22543160984582628,0.5304183891469257,0.4619770042323363
0.20489622535975702,0.5082211046279488,0.3898281946876849
0.20539750156520245,0.4972080154455964,0.3878692026081229
0.21739004338315382,0.4991645371147087,0.4552268658855381
0.21573162850128472,0.5242753090819151,0.43510022421528505
0.6269056568570668,0.5010075205834825,0.4402612028852848
0.2527796524003396,0.48024178043646604,0.4874454447711157
0.21150736745670787,0.4914223246301682,0.42446985795544506
0.22637120338601954,0.5075044057839431,0.4458615500367169
0.7596692495151315,0.4995343817056481,0.44469467335355994
0.2231934613255873,0.5019617866572541,0.4929855796828972
0.21128078149826152,0.5071851444488393,0.4227468014548009
0.21346461425735114,0.5047733171695179,0.42847868026147656
0.2182802705070197,0.5144730882010079,0.4608991332521222
0.23254841164874607,0.5065794567559071,0.4605418146966894
0.21173877852561304,0.4874320286964399,0.4426214899169089
0.21685544692684502,0.5122244252263022,0.4226619834550045
0.21563691988456488,0.5073997218621548,0.4373116914677605
0.2248703226954371,0.4932448137136628,0.5089934278626537
0.2113979236481461,0.4858218938333988,0.4287223234082493
0.2528625888594791,0.4950213317534621,0.5156557994449275
0.22936714575094794,0.5560853246831432,0.4465951447109456
0.21554977505873474,0.5284867234237001,0.4243065775603097
0.22656018771213218,0.5053461683150197,0.4165633015194065
0.2156938955268202,0.4484591585739735,0.44009400670982857
0.22396006929646817,0.5216441403684715,0.4831935351097012
0.23988241533139282,0.5326363370727037,0.4327816609234375
0.20515947111739158,0.5199398770388947,0.3812121642355209
0.20906087929399347,0.4739506772130057,0.4366759970816548
0.20896400001980234,0.4836328760652256,0.40037521168100937
0.242651222446613,0.5220321723639779,0.482429665844302
0.20776355299348068,0.5033624878845372,0.4084483509405025
0.21583053823882029,0.5156273093541143,0.4463502801879127
0.24170673369653653,0.4933934624860471,0.4397181537545192
0.21252774934549365,0.5149531571577058,0.4113252658014976
0.2128807645884402,0.5155593703012341,0.393945466140382
0.21234769951572255,0.5050326143007262,0.40576587709407336
0.241648928942781,0.5154705139726026,0.4397078547862672
0.4699234076627268,0.5057072003108839,0.4409607323589133
0.21035125072645505,0.4972854765498563,0.4312566872669531
0.22314128875268013,0.5350062151287726,0.4632196284695388
0.21267089404099843,0.495624119561176,0.44089263243945465
0.24744798195118883,0.485472494136897,0.484941568573825
0.21658763303374684,0.4938964439421454,0.4649847161139034
0.2247255488373958,0.4869176472150157,0.37919485262847225
0.210186080616137,0.5203877058604445,0.4131946572870263
0.21674781248646052,0.4834998231318377,0.4684292718995969
0.2139646299432947,0.5016251208374497,0.4455332212440428
0.21254087177694317,0.5096477853263108,0.4271214701172731
0.2066916312030594,0.4854432569853402,0.3983390499577527
0.2273317869533068,0.5081914238760863,0.4489592000579323
0.21808443159593616,0.5010775627891781,0.4955619501833886
0.21401127340041065,0.5107886721058709,0.4468430845232265
0.2166174662416909,0.5065417393090312,0.4390088747880318
0.20806160286250286,0.5122799474189496,0.40406956166217456
0.23904208292779888,0.4885866927924698,0.4528413954819118
0.21328033749997607,0.5102338948325391,0.4209981480789857
0.21466408251452868,0.5120438570153943,0.4172538146910959
0.20848201221655194,0.4958975775959209,0.4013093127265928
0.2270696732574907,0.4766979032399027,0.4614462199941393
0.2321223091455613,0.5068789808180035,0.45208159958489796
0.2059066633964217,0.4685545173196399,0.40175202708530056
