window_size_1_RMSE,Plain_w200,Exp_wAll
0.26450949321832196,0.6313496139653647,0.5269461904029628
0.26815561767893725,0.6373087515683522,0.5410556894836145
0.2591784276645572,0.6006988435349807,0.5253128634311417
0.26722573105811825,0.6271815933868108,0.5499798399559441
0.2737705760804003,0.6259794674965602,0.5603855172054221
0.2645980545098507,0.6402078403559844,0.5266458907529686
0.27266879644793496,0.649312710764028,0.5531108416451179
0.266137871828721,0.6329126943678111,0.5306269403450519
0.2678152986576352,0.6410047825805016,0.5117717065108512
0.267936141547591,0.6426812665630125,0.5482782594708929
0.2697174711984075,0.6577792381437212,0.5351177390629646
0.27284477580296607,0.6325527057614979,0.5836285513321705
0.2653494729121826,0.6300414930667827,0.5374350366450624
0.25545281907501016,0.627833584922561,0.4715026958952634
0.2720351269207142,0.6321099268772619,0.5682761467284806
0.2677724219290198,0.6481720475009406,0.5211961707733115
0.26475077517169027,0.6260963375464503,0.5558025950687042
0.26919747895640517,0.6429690166556067,0.5307336330120266
0.2619416707721809,0.6316133696418309,0.5391345663024193
0.2644084818734978,0.6389640611373828,0.5319183637622831
0.26914000515839415,0.6673356228550873,0.5198528931290385
0.2696415636551108,0.6107154922571971,0.5829634679273289
0.2604842523411394,0.6297693954489382,0.4963530784160749
0.26378154937363757,0.6304212406882772,0.5300968285925075
0.2670707127778306,0.64519607155744,0.5432069184433144
0.2686808026203079,0.6061272706184859,0.5627133908340408
0.27251986297293435,0.6513405576392108,0.5649399307673183
0.2680586969577146,0.6242256820521335,0.5512364371867726
0.26219701244027266,0.6052890297833919,0.5303074399664726
0.26585578948344896,0.6413160291806227,0.5033544730376969
0.27327430756452903,0.6371261937964251,0.5679590762598691
0.2752320922043651,0.6527000631273643,0.5592302130172658
0.26030782275093506,0.6191457470302419,0.4811045227933059
0.2758646432264273,0.6758444189276308,0.5398078776913627
0.2640787464041941,0.6391432337098099,0.4939789719472234
0.26690363328097466,0.6416618938367789,0.5040460190075413
0.25944402472438355,0.6210946375061449,0.4756569810332699
0.2692093257220116,0.6443616292494919,0.5149427927198118
0.25788922646376367,0.6219508038467881,0.4798391078167459
0.2759441259721938,0.6466262669681103,0.5745863693769915
0.2577975625226175,0.6064742195443915,0.4923832420350713
0.26265862549475927,0.614745950162592,0.5070686864873127
0.26770981737457145,0.619431569152193,0.5618814245399135
0.27579671858004484,0.6643358185941072,0.5517729733712314
0.2590198970657866,0.6073246913074631,0.4875838884815039
0.26399633216565094,0.6280633624658148,0.5145615515051055
0.2666045802374683,0.6225451309272083,0.5355903343546228
0.26958495855166187,0.605774707455212,0.5689580498534523
0.2700548978078007,0.6583993059331338,0.5561821178595018
